model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
dncnn,gaussian,15,test021.png,29.441243623115835,0.9251384103722441,0.04192887246608734,24.91026769860479,0.7524892444745291,0.15383803844451904,
vae,gaussian,15,test021.png,17.91724000530804,0.39167992986317074,0.6493974328041077,24.91026769860479,0.7524892444745291,0.15383803844451904,
dncnn,gaussian,15,test022.png,29.72626544408413,0.8916069433709035,0.08041957020759583,24.761938045339505,0.7508745453094778,0.18255697190761566,
vae,gaussian,15,test022.png,19.74773883173031,0.3760366920456593,0.6110584735870361,24.761938045339505,0.7508745453094778,0.18255697190761566,
dncnn,gaussian,15,test023.png,31.709865560830323,0.9166587276379068,0.06432086229324341,24.693433014204544,0.6071369757798182,0.4098502993583679,
vae,gaussian,15,test023.png,22.103589385838,0.5614886400814096,0.5477261543273926,24.693433014204544,0.6071369757798182,0.4098502993583679,
dncnn,gaussian,15,test024.png,31.320060239790195,0.9187274872786618,0.06995414197444916,24.9406215741412,0.664859701228321,0.3187061846256256,
vae,gaussian,15,test024.png,21.68407259097718,0.5732579919005163,0.4907837212085724,24.9406215741412,0.664859701228321,0.3187061846256256,
dncnn,gaussian,15,test025.png,32.05863820445244,0.9488506921178217,0.05660936236381531,24.604930536320758,0.4946463705800729,0.5773846507072449,
vae,gaussian,15,test025.png,22.249097052368274,0.6894143086508612,0.4527032673358917,24.604930536320758,0.4946463705800729,0.5773846507072449,
dncnn,gaussian,15,test026.png,30.920519307540356,0.8727603828357275,0.10611040890216827,24.708162122629087,0.6259529813642589,0.3583931028842926,
vae,gaussian,15,test026.png,23.266256864007232,0.5376490888169256,0.5739180445671082,24.708162122629087,0.6259529813642589,0.3583931028842926,
dncnn,gaussian,15,test027.png,32.3892263942451,0.8859866639836789,0.12668460607528687,24.65463193786738,0.5315055695567513,0.5217059850692749,
vae,gaussian,15,test027.png,24.986981577792506,0.6169720761853446,0.5602290630340576,24.65463193786738,0.5315055695567513,0.5217059850692749,
dncnn,gaussian,15,test028.png,35.41354153753797,0.9096624007641323,0.10441666841506958,26.406084418071075,0.45349142659238306,0.49058064818382263,
vae,gaussian,15,test028.png,26.95082789327862,0.7891234996165677,0.48159852623939514,26.406084418071075,0.45349142659238306,0.49058064818382263,
dncnn,gaussian,15,test029.png,27.587651917280674,0.9200166774801941,0.05258543789386749,24.81735775914799,0.7759633602381948,0.1723134070634842,
vae,gaussian,15,test029.png,17.049793283208427,0.3343022675565997,0.7745850086212158,24.81735775914799,0.7759633602381948,0.1723134070634842,
dncnn,gaussian,15,test030.png,32.273563124857795,0.8735724886123001,0.14807288348674774,24.623528438261538,0.542484542623598,0.4670758843421936,
vae,gaussian,15,test030.png,24.746921795210387,0.5645299027470017,0.5623211860656738,24.623528438261538,0.542484542623598,0.4670758843421936,
dncnn,gaussian,15,test031.png,27.51616887382994,0.9094607703960629,0.05976056307554245,24.61792525607113,0.8547596910635232,0.10548154264688492,
